Drug1_CID,Drug2_CID,HSA_values,Bliss_values,Loewe_values,ZIP_values,HSA,Bliss,Loewe,ZIP,in_pharmacome
148121,24856436,"[2.38, 6.02, 3.46, 4.69, 6.45, 2.385, 6.016, 3.455, 5.471, 2.38, 6.02, 3.46, 4.69, 6.45]","[24.35, 5.34, 9.16, 3.79, 5.05, 24.354, 5.345, 9.161, 4.421, 24.35, 5.34, 9.16, 3.79, 5.05]","[-0.68, 2.55, 0.81, 0.96, 1.81, -0.658, 2.564, 0.828, 1.115, -0.66, 2.54, 0.84, 0.84, 1.89]","[25.06, 6.33, 10.72, 2.72, 6.91, 25.063, 6.332, 10.723, 3.177, 25.1, 6.33, 10.53, 2.73, 7.49]",4.52,9.9,1.05,10.66,yes
148121,25102847,"[-22.39, -22.392, -22.39]","[5.74, 5.741, 5.74]","[-52.91, -62.298, -72.03]","[15.48, 15.142, 14.43]",-22.39,5.74,-62.41,15.02,yes
148121,2733526,"[-0.19, -0.19]","[-1.17, -1.17]","[-0.18, -0.18]","[15.51, 15.51]",-0.19,-1.17,-0.18,15.51,yes
148121,31703,"[1.333, -0.282]","[7.373, 2.058]","[-4.91, -4.719]","[7.867, 3.674]",0.53,4.72,-4.81,5.77,yes
148121,454216,"[-0.47, -0.47]","[-1.0, -1.0]","[-0.43, -0.43]","[15.78, 15.78]",-0.47,-1.0,-0.43,15.78,yes
148121,5944,[-10.793],[-5.086],[-28.99],[0.864],-10.79,-5.09,-28.99,0.86,yes
148121,5978,"[-0.11, 4.55]","[6.73, 78.42]","[-9.03, -10.91]","[8.14, 91.3]",2.22,42.58,-9.97,49.72,yes
148121,6253,"[-1.268, -2.531]","[2.592, 3.117]","[-7.299, -1.625]","[3.135, 6.888]",-1.9,2.85,-4.46,5.01,yes
148121,71226662,"[0.78, -0.89, 0.78, -0.89]","[-2.85, -2.07, -2.85, -2.07]","[-0.74, -1.95, -0.77, -1.93]","[-2.48, -0.63, -2.51, -0.88]",-0.05,-2.46,-1.35,-1.62,yes
148121,9823820,"[-1.776, -1.78]","[18.998, 19.0]","[-17.534, -17.39]","[18.748, 20.65]",-1.78,19.0,-17.46,19.7,yes
149096,25126798,"[0.74, 0.744, 0.74]","[0.48, 0.476, 0.48]","[-21.92, -21.915, -21.92]","[2.8, 2.776, 1.36]",0.74,0.48,-21.92,2.31,yes
149096,6918837,"[3.24, 3.239, 3.24]","[3.24, 3.241, 3.24]","[-2.04, -1.99, -16.52]","[2.8, 2.796, 2.82]",3.24,3.24,-6.85,2.81,yes
14982,25126798,"[-3.93, -3.93, -3.93]","[-4.06, -4.061, -4.06]","[-27.27, -27.282, -27.29]","[-1.06, -1.062, -0.43]",-3.93,-4.06,-27.28,-0.85,yes
14982,6918837,"[1.31, 1.313, 1.31]","[-3.7, -3.701, -3.7]","[-4.24, -4.251, -16.11]","[-2.98, -2.975, -0.6]",1.31,-3.7,-8.2,-2.18,yes
150311,156419,"[12.57, 12.57]","[-1.55, -1.55]","[12.56, 12.56]","[-1.55, -1.55]",12.57,-1.55,12.56,-1.55,yes
150311,157920,"[14.52, 14.52]","[0.01, 0.01]","[14.5, 14.5]","[0.01, 0.01]",14.52,0.01,14.5,0.01,yes
150311,158781,"[5.64, 5.64]","[-8.12, -8.12]","[5.64, 5.64]","[-8.12, -8.12]",5.64,-8.12,5.64,-8.12,yes
150311,16231,"[7.17, 7.17]","[-5.75, -5.75]","[7.16, 7.16]","[-5.75, -5.75]",7.17,-5.75,7.16,-5.75,yes
150311,170361,"[-6.36, -6.36]","[-20.41, -20.41]","[-6.36, -6.36]","[-20.41, -20.41]",-6.36,-20.41,-6.36,-20.41,yes
150311,1935,"[-6.84, -6.84]","[-21.16, -21.16]","[-6.84, -6.84]","[-21.16, -21.16]",-6.84,-21.16,-6.84,-21.16,yes
150311,1986,"[-3.6, -3.6]","[-18.24, -18.24]","[-3.62, -3.62]","[-18.24, -18.24]",-3.6,-18.24,-3.62,-18.24,yes
150311,19861,"[-5.66, -5.66]","[-19.42, -19.42]","[-5.67, -5.67]","[-19.42, -19.42]",-5.66,-19.42,-5.67,-19.42,yes
150311,1989,"[3.3, 3.3]","[-11.04, -11.04]","[3.29, 3.29]","[-11.04, -11.04]",3.3,-11.04,3.29,-11.04,yes
150311,2082,"[-7.86, -7.86]","[-10.56, -10.56]","[-7.86, -7.86]","[-10.56, -10.56]",-7.86,-10.56,-7.86,-10.56,yes
150311,208898,"[15.64, 15.64]","[2.05, 2.05]","[15.64, 15.64]","[2.05, 2.05]",15.64,2.05,15.64,2.05,yes
150311,2130,"[7.1, 7.1]","[-6.15, -6.15]","[7.1, 7.1]","[-6.15, -6.15]",7.1,-6.15,7.1,-6.15,yes
150311,2153,"[-2.77, -2.77]","[-17.25, -17.25]","[-2.77, -2.77]","[-17.25, -17.25]",-2.77,-17.25,-2.77,-17.25,yes
150311,216237,"[-11.94, -11.94]","[-25.81, -25.81]","[-11.94, -11.94]","[-25.81, -25.81]",-11.94,-25.81,-11.94,-25.81,yes
150311,216239,"[24.62, 24.62]","[13.07, 13.07]","[24.61, 24.61]","[13.07, 13.07]",24.62,13.07,24.61,13.07,yes
150311,2165,"[14.22, 14.22]","[0.6, 0.6]","[14.21, 14.21]","[0.6, 0.6]",14.22,0.6,14.21,0.6,yes
150311,2170,"[1.67, 1.67]","[-11.49, -11.49]","[1.67, 1.67]","[-11.49, -11.49]",1.67,-11.49,1.67,-11.49,yes
150311,2187,"[2.91, 2.91]","[-10.68, -10.68]","[2.9, 2.9]","[-10.68, -10.68]",2.91,-10.68,2.9,-10.68,yes
